,pm2.5,pm10,o3,no2,so2,co
2023-04-06,50.0,11.0,40.0,8.0,1.0,2.0
2023-04-05,42.0,15.0,39.0,22.0,1.0,3.0
2023-04-04,37.0,12.0,43.0,15.0,1.0,2.0
2023-04-03,49.0,10.0,40.0,7.0,1.0,2.0
2023-04-02,60.0,15.0,43.0,6.0,1.0,2.0
2023-03-31,45.0,15.0,30.0,26.0,1.0,3.0
2023-03-30,56.0,14.0,41.0,14.0,1.0,2.0
2023-03-29,57.0,21.0,40.0,11.0,1.0,2.0
2023-03-28,43.0,24.0,32.0,15.0,1.0,2.0
2023-03-27,18.0,13.0,33.0,8.0,1.0,2.0
2023-03-24,50.0,11.0,27.0,16.0,1.0,2.0
2023-03-23,55.0,17.0,21.0,22.0,1.0,2.0
2023-03-22,53.0,18.0,40.0,17.0,1.0,3.0
2023-03-21,42.0,17.0,22.0,31.0,4.0,4.0
2023-03-20,21.0,12.0,32.0,21.0,2.0,2.0
2023-03-19,20.0,6.0,37.0,7.0,1.0,2.0
2023-03-17,58.0,18.0,31.0,16.0,1.0,2.0
2023-03-16,45.0,18.0,33.0,26.0,2.0,3.0
2023-03-15,23.0,13.0,35.0,15.0,2.0,2.0
2023-03-14,41.0,7.0,31.0,8.0,1.0,2.0
2023-03-13,38.0,16.0,33.0,15.0,2.0,2.0
2023-03-12,43.0,12.0,36.0,11.0,1.0,2.0
2023-03-11,53.0,14.0,38.0,16.0,2.0,3.0
2023-03-10,81.0,20.0,36.0,17.0,1.0,3.0
2023-03-09,68.0,31.0,40.0,38.0,2.0,4.0
2023-03-08,62.0,23.0,36.0,35.0,3.0,3.0
2023-03-07,42.0,18.0,32.0,31.0,2.0,3.0
2023-03-06,37.0,11.0,30.0,13.0,1.0,2.0
2023-03-05,40.0,11.0,34.0,6.0,1.0,2.0
2023-03-04,23.0,12.0,34.0,17.0,1.0,2.0
2023-03-03,26.0,7.0,29.0,15.0,1.0,3.0
2023-03-02,39.0,10.0,35.0,9.0,1.0,2.0
2023-03-01,40.0,12.0,38.0,17.0,1.0,2.0
2023-02-28,28.0,12.0,37.0,20.0,1.0,2.0
2023-02-27,17.0,9.0,31.0,15.0,1.0,2.0
2023-02-25,61.0,7.0,33.0,9.0,1.0,2.0
2023-02-24,59.0,17.0,25.0,27.0,1.0,3.0
2023-02-23,28.0,17.0,26.0,24.0,1.0,3.0
2023-02-22,21.0,8.0,29.0,16.0,1.0,3.0
2023-02-21,25.0,6.0,31.0,7.0,1.0,2.0
2023-02-20,68.0,8.0,36.0,10.0,2.0,2.0
2023-02-19,77.0,22.0,36.0,20.0,1.0,4.0
2023-02-18,47.0,22.0,33.0,35.0,2.0,4.0
2023-02-17,23.0,13.0,26.0,24.0,5.0,3.0
2023-02-16,14.0,6.0,27.0,12.0,1.0,2.0
2023-02-14,46.0,5.0,28.0,9.0,1.0,2.0
2023-02-13,43.0,12.0,27.0,17.0,1.0,2.0
2023-02-12,18.0,13.0,25.0,16.0,1.0,3.0
2023-02-08,59.0,19.0,35.0,13.0,1.0,3.0
2023-02-07,52.0,17.0,35.0,23.0,1.0,3.0
2023-02-06,32.0,14.0,23.0,32.0,3.0,3.0
2023-02-05,56.0,9.0,32.0,10.0,1.0,2.0
2023-02-04,38.0,15.0,23.0,20.0,2.0,4.0
2023-02-03,26.0,9.0,26.0,12.0,1.0,2.0
2023-02-02,46.0,7.0,29.0,10.0,1.0,2.0
2023-02-01,24.0,11.0,31.0,18.0,1.0,3.0
2023-01-31,46.0,6.0,27.0,10.0,1.0,3.0
2023-01-30,33.0,11.0,27.0,22.0,1.0,3.0
2023-01-29,18.0,7.0,28.0,10.0,2.0,2.0
2023-01-28,41.0,4.0,28.0,8.0,1.0,2.0
2023-01-27,26.0,9.0,16.0,25.0,1.0,3.0
2023-01-26,14.0,6.0,21.0,26.0,1.0,3.0
2023-01-24,53.0,16.0,26.0,24.0,2.0,3.0
2023-01-23,33.0,12.0,14.0,19.0,1.0,3.0
2023-01-22,19.0,8.0,24.0,10.0,2.0,2.0
2023-01-20,19.0,12.0,28.0,27.0,2.0,3.0
2023-01-19,48.0,5.0,24.0,11.0,1.0,2.0
2023-01-18,19.0,12.0,23.0,21.0,1.0,3.0
2023-01-17,20.0,5.0,23.0,14.0,1.0,2.0
2023-01-15,57.0,13.0,26.0,12.0,1.0,3.0
2023-01-14,76.0,16.0,25.0,29.0,1.0,4.0
2023-01-13,60.0,24.0,5.0,49.0,3.0,6.0
2023-01-12,32.0,17.0,13.0,39.0,2.0,5.0
2023-01-11,19.0,9.0,20.0,23.0,1.0,3.0
2023-01-10,57.0,6.0,27.0,9.0,1.0,2.0
2023-01-09,49.0,15.0,21.0,26.0,2.0,4.0
2023-01-08,43.0,13.0,34.0,14.0,2.0,3.0
2023-01-07,25.0,10.0,25.0,19.0,1.0,3.0
2023-01-06,11.0,6.0,21.0,18.0,1.0,2.0
2023-01-05,9.0,3.0,28.0,7.0,1.0,1.0
2023-01-03,9.0,3.0,26.0,7.0,1.0,2.0
2023-01-01,23.0,11.0,25.0,17.0,2.0,3.0
2022-12-31,18.0,6.0,25.0,13.0,1.0,3.0
2022-12-30,35.0,6.0,24.0,12.0,1.0,3.0
2022-12-29,43.0,10.0,27.0,21.0,2.0,3.0
2022-12-28,12.0,12.0,12.0,29.0,2.0,4.0
2022-12-27,10.0,5.0,24.0,12.0,1.0,2.0
2022-12-26,13.0,4.0,26.0,11.0,1.0,2.0
2022-12-24,16.0,5.0,23.0,11.0,1.0,2.0
2022-12-23,44.0,5.0,25.0,10.0,1.0,2.0
2022-12-22,43.0,11.0,16.0,25.0,1.0,3.0
2022-12-21,34.0,12.0,12.0,30.0,2.0,3.0
2022-12-20,16.0,9.0,11.0,30.0,4.0,3.0
2022-12-19,21.0,5.0,23.0,14.0,1.0,2.0
2022-12-18,37.0,6.0,28.0,11.0,1.0,2.0
2022-12-17,32.0,9.0,18.0,21.0,2.0,3.0
2022-12-16,19.0,9.0,19.0,24.0,1.0,3.0
2022-12-15,31.0,6.0,20.0,22.0,1.0,3.0
2022-12-14,45.0,11.0,24.0,16.0,1.0,2.0
2022-12-13,24.0,11.0,9.0,30.0,1.0,3.0
2022-12-12,49.0,8.0,28.0,10.0,1.0,2.0
2022-12-11,54.0,14.0,28.0,16.0,1.0,3.0
2022-12-10,36.0,14.0,24.0,24.0,1.0,3.0
2022-12-09,35.0,10.0,13.0,25.0,1.0,3.0
2022-12-08,38.0,10.0,15.0,31.0,1.0,4.0
2022-12-07,24.0,9.0,15.0,31.0,3.0,4.0
2022-12-05,47.0,6.0,17.0,14.0,1.0,2.0
2022-12-04,29.0,14.0,15.0,22.0,1.0,4.0
2022-12-03,21.0,8.0,16.0,20.0,1.0,4.0
2022-12-02,17.0,6.0,19.0,12.0,1.0,2.0
2022-11-30,51.0,9.0,23.0,15.0,1.0,2.0
2022-11-29,48.0,20.0,25.0,22.0,1.0,3.0
2022-11-28,28.0,16.0,15.0,23.0,1.0,3.0
2022-11-27,56.0,8.0,30.0,8.0,1.0,2.0
2022-11-26,21.0,18.0,7.0,30.0,2.0,4.0
2022-11-25,13.0,7.0,26.0,12.0,2.0,2.0
2022-11-24,28.0,4.0,24.0,11.0,1.0,2.0
2022-11-21,53.0,10.0,23.0,16.0,1.0,3.0
2022-11-19,36.0,15.0,34.0,17.0,1.0,3.0
2022-11-18,29.0,11.0,27.0,17.0,2.0,2.0
2022-11-17,25.0,9.0,25.0,17.0,1.0,2.0
2022-11-16,22.0,7.0,25.0,19.0,1.0,2.0
2022-11-15,16.0,7.0,17.0,15.0,1.0,2.0
2022-11-14,51.0,5.0,25.0,7.0,1.0,2.0
2022-11-13,57.0,19.0,34.0,21.0,1.0,4.0
2022-11-12,57.0,19.0,37.0,22.0,3.0,4.0
2022-11-11,65.0,18.0,37.0,17.0,1.0,2.0
2022-11-10,41.0,21.0,28.0,27.0,2.0,3.0
2022-11-09,43.0,11.0,30.0,14.0,2.0,2.0
2022-11-08,44.0,12.0,34.0,17.0,1.0,3.0
2022-11-07,31.0,13.0,18.0,23.0,2.0,4.0
2022-11-06,25.0,9.0,34.0,6.0,1.0,2.0
2022-11-05,48.0,8.0,26.0,9.0,1.0,2.0
2022-11-04,50.0,16.0,29.0,22.0,1.0,3.0
2022-11-03,36.0,17.0,34.0,22.0,2.0,3.0
2022-11-02,35.0,11.0,27.0,23.0,4.0,3.0
2022-11-01,30.0,11.0,22.0,13.0,1.0,2.0
2022-10-31,33.0,10.0,30.0,11.0,1.0,2.0
2022-10-30,42.0,10.0,35.0,10.0,1.0,3.0
2022-10-29,57.0,13.0,31.0,12.0,1.0,2.0
2022-10-28,39.0,18.0,22.0,28.0,1.0,4.0
2022-10-27,22.0,12.0,26.0,16.0,1.0,2.0
2022-10-26,24.0,8.0,25.0,7.0,1.0,2.0
